counterbalance.thisRepN,counterbalance.thisTrialN,counterbalance.thisN,counterbalance.thisIndex,buffer_begin.thisRepN,buffer_begin.thisTrialN,buffer_begin.thisN,buffer_begin.thisIndex,cond1cue.thisRepN,cond1cue.thisTrialN,cond1cue.thisN,cond1cue.thisIndex,cond2cue.thisRepN,cond2cue.thisTrialN,cond2cue.thisN,cond2cue.thisIndex,cond3cue.thisRepN,cond3cue.thisTrialN,cond3cue.thisN,cond3cue.thisIndex,con1target.thisRepN,con1target.thisTrialN,con1target.thisN,con1target.thisIndex,cond2target.thisRepN,cond2target.thisTrialN,cond2target.thisN,cond2target.thisIndex,cond3target.thisRepN,cond3target.thisTrialN,cond3target.thisN,cond3target.thisIndex,buffer_end.thisRepN,buffer_end.thisTrialN,buffer_end.thisN,buffer_end.thisIndex,WelTex.started,WelTex.stopped,start_resp.keys,start_resp.rt,start_resp.started,start_resp.stopped,start_recording.started,start_recording.stopped,buf_bgin_txt.started,buf_bgin_txt.stopped,buf_bgin_fix.started,buf_bgin_fix.stopped,trigger_buffer.started,trigger_buffer.stopped,atten_detect.keys,atten_detect.corr,atten_detect.started,atten_detect.stopped,stim,category,type,trigger_value,fixation_color,my_stimulus.started,my_stimulus.stopped,fixation.started,fixation.stopped,trigger_stimuli.started,trigger_stimuli.stopped,atten_detect.rt,buf_end_txt.started,buf_end_txt.stopped,buf_end_fix.started,buf_end_fix.stopped,trigger_buffer_end.started,trigger_buffer_end.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,endText.started,endText.stopped,stop_recording.started,stop_recording.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,29.498225244660716,None,truck,none,none,7,blue,29.498225244660716,None,29.498225244660716,None,29.498225244660716,29.59817691770695,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,29.75658730199393,None,nail,none,none,7,blue,29.75658730199393,None,29.75658730199393,None,29.75658730199393,29.856542295443433,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,30.00660307390899,None,otter,cond1,cue,1,blue,30.00660307390899,None,30.00660307390899,None,30.00660307390899,30.106607269690357,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,30.256550022926604,None,soap,none,none,7,blue,30.256550022926604,None,30.256550022926604,None,30.256550022926604,30.356635417650978,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,30.506650012330283,None,button,none,none,7,blue,30.506650012330283,None,30.506650012330283,None,30.506650012330283,30.606664169321448,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,30.756669406502624,None,cake,none,none,7,blue,30.756669406502624,None,30.756669406502624,None,30.756669406502624,30.85668175236424,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,30.998326215094494,None,turtle,cond1,cue,1,blue,30.998326215094494,None,30.998326215094494,None,30.998326215094494,31.098368444581865,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,31.256708194845487,None,chicken,none,none,7,blue,31.256708194845487,None,31.256708194845487,None,31.256708194845487,31.35671752215785,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,31.506728494579875,None,pizza,none,none,7,blue,31.506728494579875,None,31.506728494579875,None,31.506728494579875,31.606662056337882,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
0,0,0,0,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,31.756747285042366,None,photo,none,none,7,red,31.756747285042366,None,31.756747285042366,None,31.756747285042366,31.85667299857414,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_1028,FPVS,2021.2.2,120.06563496617713,
