rs_eeg.thisRepN,rs_eeg.thisTrialN,rs_eeg.thisN,rs_eeg.thisIndex,key_resp.keys,key_resp.rt,rs_instr_title.started,rs_instr_title.stopped,rs_instr_text.started,rs_instr_text.stopped,rs_instr_resptext.started,rs_instr_resptext.stopped,rs_instr_resp.keys,rs_instr_resp.rt,rs_instr_resp.started,rs_instr_resp.stopped,countdown_text.started,countdown_text.stopped,timer_text_5.started,timer_text_5.stopped,timer_text_4.started,timer_text_4.stopped,timer_text_3.started,timer_text_3.stopped,timer_text_2.started,timer_text_2.stopped,timer_text_1.started,timer_text_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,space,88.64157609261565,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0850,TNT_phase23,2021.2.2,119.98475223354309,
,,,,,,105.16852010549155,None,105.16852010549155,None,105.16852010549155,None,space,4.9613770737041705,105.16852010549155,None,110.14391018491278,None,110.14391018491278,111.14396391506853,111.13567860431976,112.13581323156359,112.13581323156359,113.13589624163615,113.13589624163615,114.13592914380934,114.13592914380934,115.13601245573682,,,,,,,
